,loss,accuracy,jacard_coef,val_loss,val_accuracy,val_jacard_coef
31,0.0025342851877212524,0.9963933825492859,0.4095602035522461,0.09909109771251678,0.9408146142959595,0.054285597056150436
32,0.0023699512239545584,0.9965957999229431,0.42013609409332275,0.10469113290309906,0.9408146142959595,0.049299076199531555
33,0.009906763210892677,0.9893377423286438,0.34766095876693726,0.18903030455112457,0.6960073709487915,0.0400095134973526
34,0.00506807304918766,0.9927924871444702,0.3762371838092804,0.1058143824338913,0.9408146142959595,0.045417286455631256
35,0.0033657378517091274,0.9950993061065674,0.4111689329147339,0.13092103600502014,0.9408146142959595,0.03567760810256004
36,0.0028978248592466116,0.9957193732261658,0.4268335700035095,0.14205129444599152,0.9408146142959595,0.03128614276647568
37,0.002623742911964655,0.9961047172546387,0.4387389123439789,0.14595073461532593,0.9408146142959595,0.030549218878149986
38,0.002408849773928523,0.9963800311088562,0.4493871033191681,0.14710722863674164,0.9408146142959595,0.02986876666545868
39,0.0022756606340408325,0.9965564012527466,0.4588460326194763,0.1478607952594757,0.9408146142959595,0.030346574261784554
40,0.002243868773803115,0.9966099858283997,0.46566030383110046,0.15195795893669128,0.9408146142959595,0.03011804260313511
41,0.0021600155159831047,0.9966893792152405,0.4730575680732727,0.1470107138156891,0.9408146142959595,0.03182903304696083
42,0.0023693374823778868,0.9963992834091187,0.47416654229164124,0.15069657564163208,0.9408146142959595,0.03095690906047821
43,0.002487480640411377,0.9962002635002136,0.47506606578826904,0.15447266399860382,0.9408146142959595,0.02883899211883545
44,0.0021846462041139603,0.9966426491737366,0.48965051770210266,0.14495638012886047,0.9408146142959595,0.032724589109420776
45,0.0020944462157785892,0.9967154264450073,0.4966975748538971,0.14381417632102966,0.9408146142959595,0.0328645221889019
46,0.002111891284584999,0.9966923594474792,0.5020982027053833,0.15643355250358582,0.9408146142959595,0.029171636328101158
47,0.0027873027138412,0.9957442283630371,0.48696383833885193,0.16232435405254364,0.9408146142959595,0.028070442378520966
48,0.002010534517467022,0.9968363046646118,0.5137186646461487,0.15898095071315765,0.9408146142959595,0.028907563537359238
49,0.0018852715147659183,0.9970179796218872,0.5233359932899475,0.1621556282043457,0.9408146142959595,0.02787507325410843
