image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold_0.2,density_threshold_0.5,density_threshold_0.8,density_clahe_otsu_pred,density_clahe_otsu_orig
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,23,1536,1024,0.047080994,0.010757446,0.00035858154,0.9456939697265625,0.33161163330078125
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,24,1536,1536,0.044887543,0.013004303,0.00079345703,0.9582710266113281,0.0298919677734375
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,25,1536,2048,0.03173065,0.010585785,0.0008544922,0.9723472595214844,0.023746490478515625
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,26,1536,2560,0.035583496,0.013031006,0.0012168884,0.9648628234863281,0.027820587158203125
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,27,1536,3072,0.036575317,0.014183044,0.00157547,0.9609603881835938,0.03824615478515625
10x_2025-05-15_02-05-00.tif,10,10x,0,0,0,0.95531845,0.8108864,0.40015793,0.4218788146972656,0.6007080078125
10x_2025-05-15_02-05-00.tif,10,10x,1,0,512,0.96845627,0.87008667,0.52124405,0.3772392272949219,0.6354904174804688
10x_2025-05-15_02-05-00.tif,10,10x,2,0,1024,0.96731186,0.86979294,0.5142822,0.3672637939453125,0.6511993408203125
10x_2025-05-15_02-05-00.tif,10,10x,3,0,1536,0.9721222,0.87454987,0.5022125,0.3654289245605469,0.6591758728027344
10x_2025-05-15_02-05-00.tif,10,10x,4,0,2048,0.96570206,0.84664917,0.444664,0.37792205810546875,0.6602020263671875
10x_2025-05-15_02-05-00.tif,10,10x,5,0,2560,0.96199036,0.820755,0.38664627,0.4003105163574219,0.6490859985351562
10x_2025-05-15_02-05-00.tif,10,10x,6,0,3072,0.9586525,0.77788544,0.3056717,0.41656494140625,0.6452827453613281
10x_2025-05-15_02-05-00.tif,10,10x,7,512,0,0.9586601,0.8359413,0.45912933,0.39935302734375,0.6093940734863281
10x_2025-05-15_02-05-00.tif,10,10x,8,512,512,0.9631195,0.8726616,0.5698738,0.3647422790527344,0.6229820251464844
10x_2025-05-15_02-05-00.tif,10,10x,9,512,1024,0.957386,0.8733635,0.57089615,0.3535614013671875,0.6527976989746094
10x_2025-05-15_02-05-00.tif,10,10x,10,512,1536,0.96762466,0.87007904,0.5143318,0.3575553894042969,0.6727638244628906
10x_2025-05-15_02-05-00.tif,10,10x,11,512,2048,0.9704094,0.8487854,0.4142723,0.37328338623046875,0.6698646545410156
10x_2025-05-15_02-05-00.tif,10,10x,12,512,2560,0.9627838,0.8159294,0.3743782,0.3956413269042969,0.6725540161132812
10x_2025-05-15_02-05-00.tif,10,10x,13,512,3072,0.9545479,0.7790909,0.3170967,0.41738128662109375,0.6581535339355469
10x_2025-05-15_02-05-00.tif,10,10x,14,1024,0,0.9565506,0.8313103,0.4266739,0.4065742492675781,0.6080780029296875
10x_2025-05-15_02-05-00.tif,10,10x,15,1024,512,0.9687462,0.85061646,0.40901184,0.37242889404296875,0.6693916320800781
10x_2025-05-15_02-05-00.tif,10,10x,16,1024,1024,0.9607544,0.87036514,0.5629616,0.3468170166015625,0.6446266174316406
10x_2025-05-15_02-05-00.tif,10,10x,17,1024,1536,0.96827316,0.8659096,0.48005676,0.36501312255859375,0.6653099060058594
10x_2025-05-15_02-05-00.tif,10,10x,18,1024,2048,0.96427155,0.8473129,0.4458847,0.37165069580078125,0.678619384765625
10x_2025-05-15_02-05-00.tif,10,10x,19,1024,2560,0.95235443,0.8097191,0.38142014,0.3996162414550781,0.6798324584960938
10x_2025-05-15_02-05-00.tif,10,10x,20,1024,3072,0.9502449,0.7962456,0.36618423,0.40631103515625,0.6559028625488281
10x_2025-05-15_02-05-00.tif,10,10x,21,1536,0,0.94922256,0.79068756,0.34684372,0.424407958984375,0.5987472534179688
10x_2025-05-15_02-05-00.tif,10,10x,22,1536,512,0.9505615,0.8385887,0.47509384,0.38518524169921875,0.6240081787109375
10x_2025-05-15_02-05-00.tif,10,10x,23,1536,1024,0.94895935,0.85490036,0.5654373,0.36342620849609375,0.6168632507324219
10x_2025-05-15_02-05-00.tif,10,10x,24,1536,1536,0.95777893,0.8469238,0.49110794,0.3794746398925781,0.6518783569335938
10x_2025-05-15_02-05-00.tif,10,10x,25,1536,2048,0.9566345,0.835022,0.43492508,0.38777923583984375,0.6620559692382812
10x_2025-05-15_02-05-00.tif,10,10x,26,1536,2560,0.9433136,0.80426025,0.39520264,0.4125328063964844,0.6437225341796875
10x_2025-05-15_02-05-00.tif,10,10x,27,1536,3072,0.93798065,0.7789726,0.33743286,0.4280357360839844,0.64410400390625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,0,0,0,0.09062958,0.021278381,0.0009841919,0.9054756164550781,0.101226806640625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,1,0,512,0.059906006,0.018184662,0.0013160706,0.9458122253417969,0.050632476806640625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,2,0,1024,0.050178528,0.018226624,0.0014533997,0.9506263732910156,0.038722991943359375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,3,0,1536,0.046527863,0.019233704,0.0018959045,0.9534378051757812,0.03981781005859375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,4,0,2048,0.03952408,0.016204834,0.001121521,0.961029052734375,0.11442947387695312
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,5,0,2560,0.051742554,0.019470215,0.0008354187,0.9407539367675781,0.19646453857421875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,6,0,3072,0.052005768,0.014808655,0.00025558472,0.9069633483886719,0.23268890380859375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,7,512,0,0.10202789,0.022819519,0.0014419556,0.87884521484375,0.049846649169921875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,8,512,512,0.06760788,0.016582489,0.0014228821,0.9296035766601562,0.035846710205078125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,9,512,1024,0.045082092,0.015907288,0.0021400452,0.9626808166503906,0.0326690673828125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,10,512,1536,0.03435135,0.013256073,0.0015525818,0.9664726257324219,0.024547576904296875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,11,512,2048,0.040473938,0.016357422,0.0015068054,0.9597587585449219,0.031070709228515625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,12,512,2560,0.042354584,0.017028809,0.0016746521,0.9569625854492188,0.039768218994140625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,13,512,3072,0.06389618,0.02532959,0.0020179749,0.9337882995605469,0.07495498657226562
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,14,1024,0,0.110248566,0.021186829,0.00077056885,0.8460922241210938,0.04204559326171875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,15,1024,512,0.08056259,0.017623901,0.0011901855,0.90435791015625,0.037395477294921875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,16,1024,1024,0.04834366,0.013332367,0.0007019043,0.9524765014648438,0.026760101318359375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,17,1024,1536,0.038913727,0.013217926,0.0010528564,0.9658584594726562,0.028057098388671875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,18,1024,2048,0.033870697,0.0126953125,0.0011062622,0.9609870910644531,0.03829193115234375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,19,1024,2560,0.039463043,0.015029907,0.00075531006,0.9549751281738281,0.033893585205078125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,20,1024,3072,0.059921265,0.023605347,0.00157547,0.9372634887695312,0.06014251708984375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,21,1536,0,0.12602997,0.023181915,0.00078201294,0.8273544311523438,0.048725128173828125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,22,1536,512,0.10531616,0.01922226,0.0006713867,0.8564300537109375,0.041301727294921875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,23,1536,1024,0.06271362,0.013427734,0.00046539307,0.9237174987792969,0.2540092468261719
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,24,1536,1536,0.049045563,0.013889313,0.0008430481,0.9540634155273438,0.028778076171875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,25,1536,2048,0.03753662,0.012031555,0.0007095337,0.9654388427734375,0.027950286865234375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,26,1536,2560,0.049556732,0.017654419,0.001499176,0.9524574279785156,0.03949737548828125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,27,1536,3072,0.06393814,0.024147034,0.0017776489,0.9353713989257812,0.055908203125
160x_2025-05-15_02-05-00.tif,160,160x,0,0,0,0.6980667,0.34750748,0.106472015,0.5311965942382812,0.3269767761230469
160x_2025-05-15_02-05-00.tif,160,160x,1,0,512,0.6435356,0.2749977,0.075969696,0.5540771484375,0.2939453125
160x_2025-05-15_02-05-00.tif,160,160x,2,0,1024,0.6049919,0.2569847,0.06590271,0.56072998046875,0.283599853515625
160x_2025-05-15_02-05-00.tif,160,160x,3,0,1536,0.61151505,0.28108597,0.07178879,0.5538864135742188,0.2939720153808594
160x_2025-05-15_02-05-00.tif,160,160x,4,0,2048,0.62046814,0.30409622,0.06820679,0.5470809936523438,0.3108863830566406
160x_2025-05-15_02-05-00.tif,160,160x,5,0,2560,0.6562805,0.34560013,0.08000946,0.5375938415527344,0.3357276916503906
160x_2025-05-15_02-05-00.tif,160,160x,6,0,3072,0.6932411,0.38965607,0.09077835,0.5295028686523438,0.4084625244140625
160x_2025-05-15_02-05-00.tif,160,160x,7,512,0,0.67014694,0.28817368,0.06933975,0.554595947265625,0.3111763000488281
160x_2025-05-15_02-05-00.tif,160,160x,8,512,512,0.626812,0.25078583,0.06433487,0.5679512023925781,0.2882347106933594
160x_2025-05-15_02-05-00.tif,160,160x,9,512,1024,0.5638771,0.2132721,0.04824829,0.583709716796875,0.2690544128417969
160x_2025-05-15_02-05-00.tif,160,160x,10,512,1536,0.5745697,0.23557281,0.049819946,0.5568695068359375,0.2881011962890625
160x_2025-05-15_02-05-00.tif,160,160x,11,512,2048,0.60948944,0.26622772,0.05526352,0.5441818237304688,0.30364227294921875
160x_2025-05-15_02-05-00.tif,160,160x,12,512,2560,0.6574936,0.31155396,0.06735611,0.5344123840332031,0.3285255432128906
160x_2025-05-15_02-05-00.tif,160,160x,13,512,3072,0.75112915,0.43457794,0.11880875,0.5083808898925781,0.39292144775390625
160x_2025-05-15_02-05-00.tif,160,160x,14,1024,0,0.62467575,0.2674942,0.056858063,0.5608062744140625,0.30324554443359375
160x_2025-05-15_02-05-00.tif,160,160x,15,1024,512,0.613945,0.24282455,0.05228424,0.5837821960449219,0.2877769470214844
160x_2025-05-15_02-05-00.tif,160,160x,16,1024,1024,0.59176636,0.23087692,0.048202515,0.5784111022949219,0.28485107421875
160x_2025-05-15_02-05-00.tif,160,160x,17,1024,1536,0.56985474,0.21796417,0.03767395,0.5699348449707031,0.2861213684082031
160x_2025-05-15_02-05-00.tif,160,160x,18,1024,2048,0.59540176,0.24879074,0.046676636,0.5494842529296875,0.30901336669921875
160x_2025-05-15_02-05-00.tif,160,160x,19,1024,2560,0.6114845,0.26600266,0.05344391,0.5442543029785156,0.3170204162597656
160x_2025-05-15_02-05-00.tif,160,160x,20,1024,3072,0.72652435,0.38524246,0.09753418,0.5144233703613281,0.386932373046875
160x_2025-05-15_02-05-00.tif,160,160x,21,1536,0,0.5819092,0.27560043,0.055892944,0.5519523620605469,0.31601715087890625
160x_2025-05-15_02-05-00.tif,160,160x,22,1536,512,0.5861931,0.2365036,0.043376923,0.5787086486816406,0.2928047180175781
160x_2025-05-15_02-05-00.tif,160,160x,23,1536,1024,0.6046524,0.2250557,0.042877197,0.5816307067871094,0.2894859313964844
160x_2025-05-15_02-05-00.tif,160,160x,24,1536,1536,0.5887871,0.22227097,0.03954315,0.5761756896972656,0.29175567626953125
160x_2025-05-15_02-05-00.tif,160,160x,25,1536,2048,0.5730858,0.2229805,0.033008575,0.57806396484375,0.30200958251953125
160x_2025-05-15_02-05-00.tif,160,160x,26,1536,2560,0.59573364,0.25394058,0.046138763,0.5623283386230469,0.320709228515625
160x_2025-05-15_02-05-00.tif,160,160x,27,1536,3072,0.7135773,0.3690071,0.09175491,0.5144729614257812,0.3889961242675781
20x_2025-05-15_02-05-00.tif,20,20x,0,0,0,0.9296913,0.8110161,0.5391464,0.39153289794921875,0.5663337707519531
20x_2025-05-15_02-05-00.tif,20,20x,1,0,512,0.9173584,0.8181801,0.6085739,0.3581657409667969,0.5708160400390625
20x_2025-05-15_02-05-00.tif,20,20x,2,0,1024,0.9190903,0.8202095,0.603035,0.36153411865234375,0.5626487731933594
20x_2025-05-15_02-05-00.tif,20,20x,3,0,1536,0.916275,0.8090172,0.56863403,0.38294219970703125,0.5652694702148438
20x_2025-05-15_02-05-00.tif,20,20x,4,0,2048,0.9090195,0.7991257,0.5455551,0.38964080810546875,0.5673484802246094
20x_2025-05-15_02-05-00.tif,20,20x,5,0,2560,0.92871094,0.80747604,0.50154495,0.4081573486328125,0.5898323059082031
20x_2025-05-15_02-05-00.tif,20,20x,6,0,3072,0.9203987,0.76146317,0.377697,0.4478950500488281,0.5721435546875
20x_2025-05-15_02-05-00.tif,20,20x,7,512,0,0.9091873,0.8030586,0.55750275,0.38323974609375,0.5521202087402344
20x_2025-05-15_02-05-00.tif,20,20x,8,512,512,0.90133286,0.80524826,0.5985222,0.35915374755859375,0.5478706359863281
20x_2025-05-15_02-05-00.tif,20,20x,9,512,1024,0.90125275,0.8025894,0.596405,0.3592071533203125,0.5539779663085938
20x_2025-05-15_02-05-00.tif,20,20x,10,512,1536,0.9054909,0.80319977,0.5781479,0.3671417236328125,0.5573997497558594
20x_2025-05-15_02-05-00.tif,20,20x,11,512,2048,0.91194534,0.79956055,0.5306549,0.3915596008300781,0.5645027160644531
20x_2025-05-15_02-05-00.tif,20,20x,12,512,2560,0.9132614,0.7875595,0.48867798,0.4159278869628906,0.5713233947753906
20x_2025-05-15_02-05-00.tif,20,20x,13,512,3072,0.903492,0.759346,0.41863632,0.4412956237792969,0.5643424987792969
20x_2025-05-15_02-05-00.tif,20,20x,14,1024,0,0.8903961,0.78673935,0.5410156,0.3905029296875,0.53790283203125
20x_2025-05-15_02-05-00.tif,20,20x,15,1024,512,0.8906708,0.7898178,0.56967926,0.373565673828125,0.5461959838867188
20x_2025-05-15_02-05-00.tif,20,20x,16,1024,1024,0.891552,0.7923355,0.5760231,0.3658866882324219,0.5509300231933594
20x_2025-05-15_02-05-00.tif,20,20x,17,1024,1536,0.90047073,0.7979927,0.5526695,0.37117767333984375,0.5703773498535156
20x_2025-05-15_02-05-00.tif,20,20x,18,1024,2048,0.90097046,0.78697586,0.5161896,0.393463134765625,0.5608406066894531
20x_2025-05-15_02-05-00.tif,20,20x,19,1024,2560,0.8995819,0.77194977,0.4550209,0.4196052551269531,0.5562705993652344
20x_2025-05-15_02-05-00.tif,20,20x,20,1024,3072,0.895607,0.7504463,0.4108162,0.4430389404296875,0.5531959533691406
20x_2025-05-15_02-05-00.tif,20,20x,21,1536,0,0.8887253,0.76849747,0.45996094,0.4140815734863281,0.5438575744628906
20x_2025-05-15_02-05-00.tif,20,20x,22,1536,512,0.85988235,0.7532768,0.52759933,0.39415740966796875,0.5317955017089844
20x_2025-05-15_02-05-00.tif,20,20x,23,1536,1024,0.86787796,0.7680435,0.5502205,0.3790283203125,0.5435676574707031
20x_2025-05-15_02-05-00.tif,20,20x,24,1536,1536,0.87682724,0.77160263,0.53442,0.38562774658203125,0.5475921630859375
20x_2025-05-15_02-05-00.tif,20,20x,25,1536,2048,0.8691559,0.7522354,0.4831848,0.4091911315917969,0.5353507995605469
20x_2025-05-15_02-05-00.tif,20,20x,26,1536,2560,0.8694649,0.7394638,0.4213028,0.43210601806640625,0.5403861999511719
20x_2025-05-15_02-05-00.tif,20,20x,27,1536,3072,0.87726974,0.7160988,0.35482025,0.46164703369140625,0.5346221923828125
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,0,0,0,0.01928711,0.0055236816,0.00025177002,0.9825477600097656,0.2943534851074219
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,1,0,512,0.0077934265,0.0026893616,0.0002861023,0.693328857421875,0.4894866943359375
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,2,0,1024,0.006706238,0.0026741028,0.0004043579,0.7196998596191406,0.4640960693359375
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,3,0,1536,0.008136749,0.003353119,0.00051498413,0.9650955200195312,0.3923797607421875
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,4,0,2048,0.009765625,0.0035209656,0.0005340576,0.7379531860351562,0.3982086181640625
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,5,0,2560,0.008964539,0.0021400452,0.0001373291,0.6315460205078125,0.4859580993652344
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,6,0,3072,0.015007019,0.002708435,3.0517578e-05,0.5997848510742188,0.2818145751953125
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,7,512,0,0.015850067,0.003025055,0.0001373291,0.7195320129394531,0.47833251953125
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,8,512,512,0.0085372925,0.0027313232,0.0002670288,0.7230072021484375,0.38150787353515625
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,9,512,1024,0.0082092285,0.0029029846,0.00032043457,0.6559638977050781,0.5034828186035156
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,10,512,1536,0.0072135925,0.002670288,0.0004196167,0.790557861328125,0.4865684509277344
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,11,512,2048,0.004600525,0.0015296936,0.00020217896,0.7366790771484375,0.40726470947265625
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,12,512,2560,0.0103645325,0.0032806396,0.00038909912,0.7419776916503906,0.4005165100097656
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,13,512,3072,0.012794495,0.0035133362,9.918213e-05,0.6549339294433594,0.4731597900390625
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,14,1024,0,0.02728653,0.0034370422,0.00024032593,0.7365455627441406,0.377960205078125
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,15,1024,512,0.0073280334,0.0015106201,7.247925e-05,0.6593513488769531,0.5262413024902344
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,16,1024,1024,0.0066452026,0.0021438599,0.0002822876,0.7410736083984375,0.4193305969238281
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,17,1024,1536,0.010467529,0.0038490295,0.00046539307,0.7200660705566406,0.5200881958007812
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,18,1024,2048,0.008544922,0.003162384,0.00038909912,0.809600830078125,0.4004707336425781
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,19,1024,2560,0.009326935,0.0033950806,0.0004005432,0.9630279541015625,0.4584388732910156
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,20,1024,3072,0.012454987,0.0040359497,0.00039291382,0.7752952575683594,0.447052001953125
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,21,1536,0,0.03886032,0.0022506714,7.6293945e-06,0.7332572937011719,0.4494171142578125
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,22,1536,512,0.020137787,0.0028419495,4.196167e-05,0.7239112854003906,0.4691658020019531
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,23,1536,1024,0.0056419373,0.0012130737,7.247925e-05,0.6512985229492188,0.4783439636230469
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,24,1536,1536,0.006324768,0.0018920898,0.00015258789,0.6945838928222656,0.4498748779296875
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,25,1536,2048,0.008392334,0.002735138,0.00034332275,0.684051513671875,0.5051612854003906
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,26,1536,2560,0.010948181,0.0039520264,0.00045394897,0.7394447326660156,0.4125556945800781
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,27,1536,3072,0.009777069,0.0031547546,0.00022888184,0.80792236328125,0.3995208740234375
320x_2025-05-15_02-05-00.tif,320,320x,0,0,0,0.40483856,0.17082596,0.033554077,0.6779899597167969,0.25554656982421875
320x_2025-05-15_02-05-00.tif,320,320x,1,0,512,0.33455658,0.1141243,0.019683838,0.7237701416015625,0.1709747314453125
320x_2025-05-15_02-05-00.tif,320,320x,2,0,1024,0.3263054,0.112716675,0.020507812,0.7220802307128906,0.1714324951171875
320x_2025-05-15_02-05-00.tif,320,320x,3,0,1536,0.28880692,0.10053635,0.014770508,0.7469291687011719,0.16021728515625
320x_2025-05-15_02-05-00.tif,320,320x,4,0,2048,0.24554825,0.09215164,0.012054443,0.7801895141601562,0.14879226684570312
320x_2025-05-15_02-05-00.tif,320,320x,5,0,2560,0.234478,0.09078598,0.007572174,0.77813720703125,0.15105819702148438
320x_2025-05-15_02-05-00.tif,320,320x,6,0,3072,0.24368286,0.09902191,0.008098602,0.7657890319824219,0.2679328918457031
320x_2025-05-15_02-05-00.tif,320,320x,7,512,0,0.36450577,0.13254547,0.026031494,0.7143135070800781,0.20389556884765625
320x_2025-05-15_02-05-00.tif,320,320x,8,512,512,0.33835602,0.10512161,0.018520355,0.7257156372070312,0.17082595825195312
320x_2025-05-15_02-05-00.tif,320,320x,9,512,1024,0.32299423,0.096637726,0.014877319,0.7239265441894531,0.16364669799804688
320x_2025-05-15_02-05-00.tif,320,320x,10,512,1536,0.27914047,0.085357666,0.010559082,0.7342758178710938,0.149261474609375
320x_2025-05-15_02-05-00.tif,320,320x,11,512,2048,0.27819443,0.08862686,0.008918762,0.7422370910644531,0.15395355224609375
320x_2025-05-15_02-05-00.tif,320,320x,12,512,2560,0.25096893,0.083805084,0.007896423,0.7719459533691406,0.1492462158203125
320x_2025-05-15_02-05-00.tif,320,320x,13,512,3072,0.2381897,0.08831787,0.007205963,0.7787666320800781,0.15856170654296875
320x_2025-05-15_02-05-00.tif,320,320x,14,1024,0,0.37023544,0.12067795,0.019412994,0.7091217041015625,0.20875167846679688
320x_2025-05-15_02-05-00.tif,320,320x,15,1024,512,0.3185768,0.093803406,0.012989044,0.7332191467285156,0.1626434326171875
320x_2025-05-15_02-05-00.tif,320,320x,16,1024,1024,0.31398773,0.083789825,0.0095329285,0.7325820922851562,0.157623291015625
320x_2025-05-15_02-05-00.tif,320,320x,17,1024,1536,0.28220367,0.07745743,0.0067977905,0.7473945617675781,0.14807510375976562
320x_2025-05-15_02-05-00.tif,320,320x,18,1024,2048,0.2627983,0.075984955,0.005630493,0.7550010681152344,0.14792251586914062
320x_2025-05-15_02-05-00.tif,320,320x,19,1024,2560,0.24232483,0.06953049,0.004497528,0.7689971923828125,0.13663864135742188
320x_2025-05-15_02-05-00.tif,320,320x,20,1024,3072,0.25484467,0.0838356,0.0054016113,0.7692337036132812,0.15682601928710938
320x_2025-05-15_02-05-00.tif,320,320x,21,1536,0,0.40977097,0.12933731,0.01573944,0.6833534240722656,0.3185691833496094
320x_2025-05-15_02-05-00.tif,320,320x,22,1536,512,0.3221054,0.097724915,0.00932312,0.7205390930175781,0.17166900634765625
320x_2025-05-15_02-05-00.tif,320,320x,23,1536,1024,0.33164978,0.09103775,0.00957489,0.7233314514160156,0.17008209228515625
320x_2025-05-15_02-05-00.tif,320,320x,24,1536,1536,0.29736328,0.078567505,0.0062828064,0.7392349243164062,0.1547393798828125
320x_2025-05-15_02-05-00.tif,320,320x,25,1536,2048,0.30696487,0.08644867,0.0054359436,0.7319412231445312,0.16849136352539062
320x_2025-05-15_02-05-00.tif,320,320x,26,1536,2560,0.26219177,0.07731247,0.0042419434,0.7600021362304688,0.1523590087890625
320x_2025-05-15_02-05-00.tif,320,320x,27,1536,3072,0.29540634,0.09492493,0.0061187744,0.7353515625,0.17414474487304688
