image,dilution,tile_idx,position_y,position_x,unet_density,attention_unet_density,attention_resunet_density
640x_2025-05-16_00-59-00_002,640,24,1536,1536,0.023246765,0.020225525,0.022918701
640x_2025-05-16_00-59-00_002,640,25,1536,2048,0.022315979,0.01807785,0.02292633
640x_2025-05-16_00-59-00_002,640,26,1536,2560,0.030292511,0.024356842,0.030338287
640x_2025-05-16_00-59-00_002,640,27,1536,3072,0.042179108,0.03232193,0.04083252
80x_2025-05-22_14-48-00,80,0,0,0,0.43862534,0.5145073,0.3845291
80x_2025-05-22_14-48-00,80,1,0,512,0.4270439,0.504406,0.38597488
80x_2025-05-22_14-48-00,80,2,0,1024,0.45322037,0.4997673,0.39468002
80x_2025-05-22_14-48-00,80,3,0,1536,0.479496,0.50977707,0.41086197
80x_2025-05-22_14-48-00,80,4,0,2048,0.46025848,0.49457932,0.38943863
80x_2025-05-22_14-48-00,80,5,0,2560,0.43689728,0.5161743,0.38970566
80x_2025-05-22_14-48-00,80,6,0,3072,0.36392593,0.49280548,0.3368225
80x_2025-05-22_14-48-00,80,7,512,0,0.4376526,0.50606155,0.3845253
80x_2025-05-22_14-48-00,80,8,512,512,0.4271469,0.46043777,0.36613846
80x_2025-05-22_14-48-00,80,9,512,1024,0.4493637,0.4728279,0.3787613
80x_2025-05-22_14-48-00,80,10,512,1536,0.45095825,0.47276306,0.38145447
80x_2025-05-22_14-48-00,80,11,512,2048,0.45788193,0.4907303,0.387352
80x_2025-05-22_14-48-00,80,12,512,2560,0.42675018,0.48574448,0.36880112
80x_2025-05-22_14-48-00,80,13,512,3072,0.38889694,0.46850204,0.3314476
80x_2025-05-22_14-48-00,80,14,1024,0,0.40864563,0.47130585,0.35432434
80x_2025-05-22_14-48-00,80,15,1024,512,0.42599106,0.46250534,0.3646736
80x_2025-05-22_14-48-00,80,16,1024,1024,0.40118408,0.4384117,0.3452835
80x_2025-05-22_14-48-00,80,17,1024,1536,0.41163635,0.4570694,0.3610344
80x_2025-05-22_14-48-00,80,18,1024,2048,0.41230392,0.46229553,0.3566513
80x_2025-05-22_14-48-00,80,19,1024,2560,0.44129562,0.49881363,0.38471603
80x_2025-05-22_14-48-00,80,20,1024,3072,0.39575195,0.4649582,0.3382187
80x_2025-05-22_14-48-00,80,21,1536,0,0.40072632,0.4675789,0.33628464
80x_2025-05-22_14-48-00,80,22,1536,512,0.390522,0.4470253,0.34308243
80x_2025-05-22_14-48-00,80,23,1536,1024,0.37984085,0.44207,0.3380127
80x_2025-05-22_14-48-00,80,24,1536,1536,0.3873825,0.43088531,0.33611298
80x_2025-05-22_14-48-00,80,25,1536,2048,0.38562012,0.46370316,0.34293747
80x_2025-05-22_14-48-00,80,26,1536,2560,0.39241028,0.45519257,0.3408203
80x_2025-05-22_14-48-00,80,27,1536,3072,0.389019,0.47086334,0.3294525
