image,dilution,dilution_label,architecture,density_threshold_0.2_mean,density_threshold_0.2_median,density_threshold_0.2_std,density_threshold_0.5_mean,density_threshold_0.5_median,density_threshold_0.5_std,density_threshold_0.8_mean,density_threshold_0.8_median,density_threshold_0.8_std,density_threshold_0.95_mean,density_threshold_0.95_median,density_threshold_0.95_std,density_clahe_otsu_pred_mean,density_clahe_otsu_pred_median,density_clahe_otsu_pred_std,density_clahe_otsu_orig_mean,density_clahe_otsu_orig_median,density_clahe_otsu_orig_std
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,Attention_UNet,0.042155674525669644,0.04206275939941406,0.013345479965424055,0.010529518127441406,0.010805130004882812,0.0022422935429415253,0.0004677091326032366,0.0002384185791015625,0.0005430735514591533,5.177089146205357e-06,0.0,1.3937593736353033e-05,0.8844668524605888,0.9182605743408203,0.06568407783910726,0.11823926653180804,0.032032012939453125,0.12810181257592662
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,UNet,0.04215349469866071,0.03612327575683594,0.015031605307677174,0.012964929853166853,0.013017654418945312,0.00152559456244735,0.0011420931134905135,0.00122833251953125,0.0004878531664358037,5.585806710379464e-06,0.0,2.0673071646232214e-05,0.9465817042759487,0.9618434906005859,0.037534080745875505,0.11823926653180804,0.032032012939453125,0.12810181257592662
320x_2025-05-15_02-05-00.tif,320,320x,Attention_ResUNet,0.23410824366978236,0.226348876953125,0.0452682471149224,0.08934388841901507,0.08418846130371094,0.024209343752384843,0.007565634591238839,0.00519561767578125,0.007130004467715355,6.539481026785714e-06,0.0,2.0341267309403586e-05,0.7542473929268974,0.7552318572998047,0.030692815060702296,0.17524542127336776,0.16143035888671875,0.04154320828652702
320x_2025-05-15_02-05-00.tif,320,320x,Attention_UNet,0.27344512939453125,0.27170562744140625,0.037710589892108466,0.08586256844656807,0.08258247375488281,0.014715039693896724,0.0028728757585797992,0.0015964508056640625,0.003785583495960165,4.087175641741071e-07,0.0,2.1627300625375403e-06,0.7183121272495815,0.7170753479003906,0.032257712719612294,0.17524542127336776,0.16143035888671875,0.04154320828652702
320x_2025-05-15_02-05-00.tif,320,320x,UNet,0.30074950626918245,0.2963905334472656,0.048799607462254556,0.09717845916748047,0.09159278869628906,0.02132109996571069,0.011829921177455358,0.009428024291992188,0.007106870585519968,5.217960902622768e-05,2.86102294921875e-05,6.926671706144466e-05,0.7391233444213867,0.7348175048828125,0.026699436805784203,0.17524542127336776,0.16143035888671875,0.04154320828652702
5120x_2025-05-16_00-59-00.tif,5120,5120x,Attention_ResUNet,0.014890125819614955,0.011152267456054688,0.015590121889129028,0.003765378679547991,0.003765106201171875,0.0012248828329267652,1.9209725516183035e-05,0.0,5.9083191575718976e-05,0.0,0.0,0.0,0.954040391104562,0.9713153839111328,0.04549609015657722,0.40483719961983816,0.4142112731933594,0.05470632337455127
5120x_2025-05-16_00-59-00.tif,5120,5120x,Attention_UNet,0.018258231026785716,0.015483856201171875,0.008369414559406041,0.003726141793387277,0.00353240966796875,0.0010122565166696199,0.00011035374232700892,2.86102294921875e-05,0.00015078263889016294,2.724783761160714e-07,0.0,1.4418200416916931e-06,0.846632821219308,0.8457260131835938,0.07842997699822545,0.40483719961983816,0.4142112731933594,0.05470632337455127
5120x_2025-05-16_00-59-00.tif,5120,5120x,UNet,0.01806708744594029,0.01578521728515625,0.009092184322068448,0.004738943917410714,0.0045490264892578125,0.0011261550196288107,0.0002682549612862723,0.0002269744873046875,0.00015112940526698315,1.0899135044642857e-06,0.0,5.7672801667667724e-06,0.8464546203613281,0.8050060272216797,0.10886854717699976,0.40483719961983816,0.4142112731933594,0.05470632337455127
640x_2025-05-16_00-59-00_002.tif,640,640x,Attention_ResUNet,0.12477357046944755,0.11753273010253906,0.048526349540725267,0.03706645965576172,0.03772926330566406,0.016946187673732273,0.0007663454328264509,0.0002384185791015625,0.0013051218349830968,2.1798270089285713e-06,0.0,1.1534560333533545e-05,0.8514471054077148,0.8610019683837891,0.040082934641415505,0.10428237915039062,0.09724998474121094,0.02591077473791428
640x_2025-05-16_00-59-00_002.tif,640,640x,Attention_UNet,0.16812910352434432,0.1539173126220703,0.05818352220603899,0.042834418160574775,0.03829193115234375,0.01522999180764122,0.0008093970162527901,0.000396728515625,0.0009608051893293065,1.9073486328125e-06,0.0,6.688323058259539e-06,0.8130346025739398,0.8184814453125,0.05556295269458658,0.10428237915039062,0.09724998474121094,0.02591077473791428
640x_2025-05-16_00-59-00_002.tif,640,640x,UNet,0.14904240199497767,0.12101173400878906,0.06677392802482722,0.04706423623221261,0.04197120666503906,0.017101551495420395,0.0030231475830078125,0.0020084381103515625,0.002809733650417239,0.00012561253138950894,0.0,0.00036929434965444645,0.85816832951137,0.8712310791015625,0.04951252400282934,0.10428237915039062,0.09724998474121094,0.02591077473791428
80x_2025-05-22_14-48-00.tif,80,80x,Attention_ResUNet,0.7926040376935687,0.8122978210449219,0.0664257277361765,0.5072956085205078,0.5027256011962891,0.0480452491312919,0.2016435350690569,0.19986724853515625,0.042322541729269365,0.003505706787109375,0.0021305084228515625,0.0037848555737214204,0.4989162172589983,0.5003070831298828,0.0071263543681531535,0.44296673366001676,0.44293212890625,0.006081826290124311
80x_2025-05-22_14-48-00.tif,80,80x,Attention_UNet,0.7400451387677874,0.7589454650878906,0.06329024653188894,0.4720020294189453,0.4726696014404297,0.029861016816236097,0.1177131107875279,0.12604331970214844,0.026206176031685513,0.0004780633108956473,0.0004711151123046875,0.00040584009133878975,0.5046659197126117,0.5010929107666016,0.008398340735221907,0.44296673366001676,0.44293212890625,0.006081826290124311
80x_2025-05-22_14-48-00.tif,80,80x,UNet,0.8153420857020787,0.8142604827880859,0.0431870474390599,0.5511973244803292,0.5490570068359375,0.04015872841045237,0.2504652568272182,0.24931716918945312,0.044285548760703654,0.015729359218052456,0.01580810546875,0.006859256457110378,0.4950366701398577,0.49617576599121094,0.005298205160090842,0.44296673366001676,0.44293212890625,0.006081826290124311
