image,dilution,dilution_label,tile_idx,position_y,position_x,architecture,density_threshold_0.2,density_threshold_0.5,density_threshold_0.8,density_threshold_0.95,density_clahe_otsu_pred,density_clahe_otsu_orig
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,17,1024,1536,Attention_UNet,0.0006103515625,0.00014495849609375,0.0,0.0,0.21548080444335938,0.5455741882324219
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,17,1024,1536,Attention_ResUNet,0.00040435791015625,0.0001373291015625,0.0,0.0,0.9669723510742188,0.5455741882324219
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,18,1024,2048,UNet,0.0009918212890625,0.000347137451171875,1.52587890625e-05,0.0,0.6294136047363281,0.4964790344238281
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,18,1024,2048,Attention_UNet,0.0012359619140625,0.00029754638671875,0.0,0.0,0.5315322875976562,0.4964790344238281
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,18,1024,2048,Attention_ResUNet,0.000850677490234375,0.000278472900390625,0.0,0.0,0.960601806640625,0.4964790344238281
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,19,1024,2560,UNet,0.002414703369140625,0.00072479248046875,7.62939453125e-06,0.0,0.6864891052246094,0.4650535583496094
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,19,1024,2560,Attention_UNet,0.00368499755859375,0.000606536865234375,0.0,0.0,0.8193168640136719,0.4650535583496094
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,19,1024,2560,Attention_ResUNet,0.00173187255859375,0.000591278076171875,0.0,0.0,0.9659805297851562,0.4650535583496094
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,20,1024,3072,UNet,0.001880645751953125,0.000507354736328125,0.0,0.0,0.6694717407226562,0.5305633544921875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,20,1024,3072,Attention_UNet,0.004337310791015625,0.0003662109375,0.0,0.0,0.78204345703125,0.5305633544921875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,20,1024,3072,Attention_ResUNet,0.001239776611328125,0.000331878662109375,0.0,0.0,0.9573593139648438,0.5305633544921875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,21,1536,0,UNet,0.00542449951171875,0.0013580322265625,0.00014495849609375,0.0,0.8119087219238281,0.45782470703125
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,21,1536,0,Attention_UNet,0.00679779052734375,0.00119781494140625,1.52587890625e-05,0.0,0.8545646667480469,0.45782470703125
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,21,1536,0,Attention_ResUNet,0.002475738525390625,0.00069427490234375,1.1444091796875e-05,0.0,0.9833793640136719,0.45782470703125
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,22,1536,512,UNet,0.002742767333984375,0.000461578369140625,5.340576171875e-05,0.0,0.7722053527832031,0.4920005798339844
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,22,1536,512,Attention_UNet,0.00518798828125,0.000431060791015625,7.62939453125e-06,0.0,0.7809944152832031,0.4920005798339844
