image,dilution,dilution_label,tile_idx,position_y,position_x,density
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,8,512,512,0.0027313232
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,9,512,1024,0.0029029846
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,10,512,1536,0.002670288
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,11,512,2048,0.0015296936
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,12,512,2560,0.0032806396
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,13,512,3072,0.0035133362
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,14,1024,0,0.0034370422
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,15,1024,512,0.0015106201
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,16,1024,1024,0.0021438599
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,17,1024,1536,0.0038490295
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,18,1024,2048,0.003162384
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,19,1024,2560,0.0033950806
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,20,1024,3072,0.0040359497
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,21,1536,0,0.0022506714
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,22,1536,512,0.0028419495
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,23,1536,1024,0.0012130737
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,24,1536,1536,0.0018920898
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,25,1536,2048,0.002735138
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,26,1536,2560,0.0039520264
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,27,1536,3072,0.0031547546
320x_2025-05-15_02-05-00.tif,320,320x,0,0,0,0.17082596
320x_2025-05-15_02-05-00.tif,320,320x,1,0,512,0.11412048
320x_2025-05-15_02-05-00.tif,320,320x,2,0,1024,0.112716675
320x_2025-05-15_02-05-00.tif,320,320x,3,0,1536,0.10053635
320x_2025-05-15_02-05-00.tif,320,320x,4,0,2048,0.09215164
320x_2025-05-15_02-05-00.tif,320,320x,5,0,2560,0.09078598
320x_2025-05-15_02-05-00.tif,320,320x,6,0,3072,0.09902191
320x_2025-05-15_02-05-00.tif,320,320x,7,512,0,0.13254547
320x_2025-05-15_02-05-00.tif,320,320x,8,512,512,0.10512161
320x_2025-05-15_02-05-00.tif,320,320x,9,512,1024,0.096637726
320x_2025-05-15_02-05-00.tif,320,320x,10,512,1536,0.085357666
320x_2025-05-15_02-05-00.tif,320,320x,11,512,2048,0.08862686
