val_jaccard,train_jaccard,best_epoch,total_epochs,overfitting_gap,batch_size_used,oom_retries,success,fold,config_name,architecture,lr,dropout,batch_size
0.14444640278816223,0.12866954505443573,0,8,-1.5776857733726501,4,0,True,3,attention_resunet_lr0.0001_drop0.2_bs4,attention_resunet,0.0001,0.2,4
0.13938690721988678,0.13984566926956177,16,24,0.04587620496749878,2,0,True,1,attention_resunet_lr0.0001_drop0.3_bs2,attention_resunet,0.0001,0.3,2
0.10466133803129196,0.15280728042125702,0,8,4.814594238996506,2,0,True,2,attention_resunet_lr0.0001_drop0.3_bs2,attention_resunet,0.0001,0.3,2
0.16485624015331268,0.10647619515657425,11,19,-5.838004499673843,2,0,True,3,attention_resunet_lr0.0001_drop0.3_bs2,attention_resunet,0.0001,0.3,2
0.13528865575790405,0.1309640258550644,0,8,-0.43246299028396606,4,0,True,1,attention_resunet_lr0.0001_drop0.3_bs4,attention_resunet,0.0001,0.3,4
0.12297911196947098,0.13057228922843933,0,8,0.7593177258968353,4,0,True,2,attention_resunet_lr0.0001_drop0.3_bs4,attention_resunet,0.0001,0.3,4
0.1802000254392624,0.11505705863237381,19,27,-6.514296680688858,4,0,True,3,attention_resunet_lr0.0001_drop0.3_bs4,attention_resunet,0.0001,0.3,4
0.1239381656050682,0.12166336923837662,0,8,-0.22747963666915894,2,0,True,1,attention_resunet_lr5e-05_drop0.2_bs2,attention_resunet,5e-05,0.2,2
0.11111839860677719,0.1626526266336441,12,20,5.153422802686691,2,0,True,2,attention_resunet_lr5e-05_drop0.2_bs2,attention_resunet,5e-05,0.2,2
0.14629141986370087,0.07997649908065796,0,8,-6.631492078304291,2,0,True,3,attention_resunet_lr5e-05_drop0.2_bs2,attention_resunet,5e-05,0.2,2
0.17665717005729675,0.14947138726711273,15,23,-2.718578279018402,4,0,True,1,attention_resunet_lr5e-05_drop0.2_bs4,attention_resunet,5e-05,0.2,4
0.11747953295707703,0.1389925479888916,0,8,2.1513015031814575,4,0,True,2,attention_resunet_lr5e-05_drop0.2_bs4,attention_resunet,5e-05,0.2,4
0.1745614856481552,0.13169963657855988,28,30,-4.286184906959534,4,0,True,3,attention_resunet_lr5e-05_drop0.2_bs4,attention_resunet,5e-05,0.2,4
0.15128962695598602,0.13853134214878082,10,18,-1.27582848072052,2,0,True,1,attention_resunet_lr5e-05_drop0.3_bs2,attention_resunet,5e-05,0.3,2
0.13416576385498047,0.17330551147460938,14,22,3.9139747619628906,2,0,True,2,attention_resunet_lr5e-05_drop0.3_bs2,attention_resunet,5e-05,0.3,2
0.16771219670772552,0.12650738656520844,4,12,-4.120481014251709,2,0,True,3,attention_resunet_lr5e-05_drop0.3_bs2,attention_resunet,5e-05,0.3,2
0.17446157336235046,0.1434844434261322,29,30,-3.097712993621826,4,0,True,1,attention_resunet_lr5e-05_drop0.3_bs4,attention_resunet,5e-05,0.3,4
0.1256961077451706,0.14407317340373993,4,12,1.8377065658569336,4,0,True,2,attention_resunet_lr5e-05_drop0.3_bs4,attention_resunet,5e-05,0.3,4
0.16546212136745453,0.12094315141439438,22,30,-4.451896995306015,4,0,True,3,attention_resunet_lr5e-05_drop0.3_bs4,attention_resunet,5e-05,0.3,4
