image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold,density_clahe_otsu_pred,density_clahe_otsu_orig
20x_2025-05-15_02-05-00.tif,20,20x,12,512,2560,0.7875595,0.4159507751464844,0.4233207702636719
20x_2025-05-15_02-05-00.tif,20,20x,13,512,3072,0.759346,0.4413337707519531,0.4284095764160156
20x_2025-05-15_02-05-00.tif,20,20x,14,1024,0,0.78673553,0.3905601501464844,0.4546775817871094
20x_2025-05-15_02-05-00.tif,20,20x,15,1024,512,0.789814,0.373565673828125,0.448974609375
20x_2025-05-15_02-05-00.tif,20,20x,16,1024,1024,0.7923317,0.3659400939941406,0.44536590576171875
20x_2025-05-15_02-05-00.tif,20,20x,17,1024,1536,0.7979927,0.37119293212890625,0.42565155029296875
20x_2025-05-15_02-05-00.tif,20,20x,18,1024,2048,0.78697586,0.393463134765625,0.43131256103515625
20x_2025-05-15_02-05-00.tif,20,20x,19,1024,2560,0.7719574,0.4196434020996094,0.440185546875
20x_2025-05-15_02-05-00.tif,20,20x,20,1024,3072,0.7504463,0.44306182861328125,0.43970489501953125
20x_2025-05-15_02-05-00.tif,20,20x,21,1536,0,0.76849747,0.4141693115234375,0.4525566101074219
20x_2025-05-15_02-05-00.tif,20,20x,22,1536,512,0.753273,0.3941650390625,0.4624061584472656
20x_2025-05-15_02-05-00.tif,20,20x,23,1536,1024,0.76804733,0.3790283203125,0.4502716064453125
20x_2025-05-15_02-05-00.tif,20,20x,24,1536,1536,0.77160263,0.38562774658203125,0.4439125061035156
20x_2025-05-15_02-05-00.tif,20,20x,25,1536,2048,0.7522354,0.4091911315917969,0.45908355712890625
20x_2025-05-15_02-05-00.tif,20,20x,26,1536,2560,0.7394638,0.43210601806640625,0.45732879638671875
20x_2025-05-15_02-05-00.tif,20,20x,27,1536,3072,0.7160988,0.46164703369140625,0.4566993713378906
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,0,0,0,0.0055236816,0.9825515747070312,0.6962051391601562
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,1,0,512,0.0026893616,0.693328857421875,0.5085182189941406
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,2,0,1024,0.0026741028,0.7197074890136719,0.5075416564941406
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,3,0,1536,0.003353119,0.9650955200195312,0.6038551330566406
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,4,0,2048,0.0035209656,0.7379493713378906,0.5963706970214844
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,5,0,2560,0.0021400452,0.6315803527832031,0.5120277404785156
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,6,0,3072,0.002708435,0.5997657775878906,0.7222671508789062
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,7,512,0,0.003025055,0.7195281982421875,0.5249481201171875
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,8,512,512,0.0027313232,0.7230186462402344,0.6148757934570312
