image,dilution_factor,method,foreground_pct
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,92.140793800354
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,95.70561051368712
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,99.6350347995758
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.0425631355028599
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.0453150511020794
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.0561640074010938
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.1172076677903533
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.4002645611763
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.7667576894164085
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.2659127581864595
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.0898299738764762
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.0674604088999331
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.054472719784826
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,9.343072772026062
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,12.790460884571075
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,42.1381413936615
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,87.16307282447815
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,98.1674313545227
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.0416622031480073
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.0422622251790016
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.0451099651399999
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.0514071725774556
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.1660356880165636
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.5736777558922768
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.4358065314590931
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.2368764486163854
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.1478138845413923
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.0659820274449884
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,2.226000465452671
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,0.0565136899240314
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,2.1827002987265587
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,39.30550217628479
10240x_2560x_2025-05-16_00-59-00_002,10240,resunet,97.10546135902403
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0676845025736838
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0613237847574055
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.054408807773143
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0504668685607612
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,2.2823993116617203
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,9.651701152324677
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,41.108474135398865
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,76.95156335830688
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,93.17107796669006
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,90.02172350883484
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,72.77811765670776
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,77.09012627601624
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,39.498814940452576
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,4.931948333978653
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0546235241927206
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0831455632578581
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0700214935932308
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0649076886475086
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0543664442375302
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0492973776999861
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,2.023705840110779
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,13.772782683372498
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,56.64069652557373
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,61.04777455329895
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,88.42384815216064
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,86.7611289024353
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,88.18661570549011
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,76.90674662590027
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,42.24555492401123
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,3.5026047378778458
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0662941136397421
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0825718278065323
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0856774044223129
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0626971712335944
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0548389856703579
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0504256051499396
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,2.226385474205017
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,12.411555647850037
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,44.93961334228515
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,67.04487204551697
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,90.94034433364868
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,82.0749580860138
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,84.42297577857971
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,85.21725535392761
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,24.60583746433258
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0613021140452474
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0689912762027233
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0811805482953786
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0811315549071878
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0598329002968966
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0534564722329378
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,1.2482245452702043
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,20.54220736026764
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,27.260643243789673
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,48.7771213054657
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,67.90704727172852
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,78.22721004486084
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,96.33702039718628
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,92.31082201004028
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,52.44263410568237
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0579427403863519
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0605001638177782
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0654551316983997
10240x_2560x_2025-05-16_00-59-00_002,10240,attention_resunet,0.0775192223954945
