image,architecture,mean_density,std_density,median_density,min_density,max_density,num_tiles,dilution_factor
160x_2025-05-15_02-05-00,resunet,0.9999990463256836,2.796722087595974e-06,1.0,0.9999847412109376,1.0,40,160.0
160x_2025-05-15_02-05-00,attention_resunet,0.0030632972717285,0.0023872957145569,0.0023956298828125,0.0013160705566406,0.0159530639648437,40,160.0
160x_2025-05-15_02-05-00,clahe_otsu,0.3327638626098633,0.0545018682499783,0.314615249633789,0.2757110595703125,0.5530624389648438,40,160.0
20x_2025-05-15_02-05-00,unet,0.002889347076416,0.0008459369166729,0.0030078887939453,0.0009880065917968,0.0040779113769531,40,20.0
20x_2025-05-15_02-05-00,resunet,0.9999958992004394,7.257329962160344e-06,1.0,0.9999732971191406,1.0,40,20.0
20x_2025-05-15_02-05-00,attention_resunet,0.0041418075561523,0.002223151721119,0.0037078857421875,0.0018196105957031,0.0133323669433593,40,20.0
20x_2025-05-15_02-05-00,clahe_otsu,0.5512541770935059,0.0211367392517816,0.5507392883300781,0.5161018371582031,0.6257133483886719,40,20.0
320x_2025-05-15_02-05-00,unet,0.0012989044189453,0.0008397694522961,0.001291275024414,0.0001296997070312,0.002532958984375,40,320.0
320x_2025-05-15_02-05-00,resunet,0.9999990463256836,1.6518123698891422e-06,1.0,0.9999961853027344,1.0,40,320.0
320x_2025-05-15_02-05-00,attention_resunet,0.0033755302429199,0.002186601673915,0.0025863647460937,0.0006179809570312,0.0118370056152343,40,320.0
320x_2025-05-15_02-05-00,clahe_otsu,0.1914113044738769,0.0627862238834268,0.1688385009765625,0.140869140625,0.4798469543457031,40,320.0
5120x_2025-05-16_00-59-00_002,unet,0.0014392852783203,0.0008116131291419,0.0019683837890625,2.288818359375e-05,0.0022506713867187,40,5120.0
5120x_2025-05-16_00-59-00_002,resunet,0.9999996185302734,1.1444091796875002e-06,1.0,0.9999961853027344,1.0,40,5120.0
5120x_2025-05-16_00-59-00_002,attention_resunet,0.0024785041809082,0.0025868973686426,0.0018825531005859,0.0003585815429687,0.0133514404296875,40,5120.0
5120x_2025-05-16_00-59-00_002,clahe_otsu,0.3456449508666992,0.1156651406229181,0.3779163360595703,0.0247650146484375,0.494171142578125,40,5120.0
640x_2025-05-16_00-59-00_002,unet,0.0015326499938964,0.0008171520913668,0.0020084381103515,3.814697265625e-05,0.0024147033691406,40,640.0
640x_2025-05-16_00-59-00_002,resunet,0.9999995231628418,1.2615925364802316e-06,1.0,0.9999961853027344,1.0,40,640.0
640x_2025-05-16_00-59-00_002,attention_resunet,0.0024311065673828,0.002091184404989,0.0019798278808593,0.0005111694335937,0.0086936950683593,40,640.0
640x_2025-05-16_00-59-00_002,clahe_otsu,0.1299473762512207,0.0732376553970456,0.1048870086669921,0.0748100280761718,0.4251747131347656,40,640.0
80x_1_2025-05-22_14-48-00_003,unet,0.0038291931152343,0.0006828165319217,0.0039806365966796,0.0020637512207031,0.0051498413085937,40,80.0
80x_1_2025-05-22_14-48-00_003,resunet,0.9999930381774902,7.671597105670121e-06,0.9999961853027344,0.999969482421875,1.0,40,80.0
80x_1_2025-05-22_14-48-00_003,attention_resunet,0.0031846046447753,0.0010322351190792,0.0028953552246093,0.0019111633300781,0.0058517456054687,40,80.0
80x_1_2025-05-22_14-48-00_003,clahe_otsu,0.5174586296081543,0.0129359775777599,0.5185508728027344,0.4937095642089844,0.5476913452148438,40,80.0
80x_2_2025-05-22_14-48-00,unet,0.0037482261657714,0.0005797165748659,0.0037288665771484,0.0027313232421875,0.0052070617675781,40,80.0
80x_2_2025-05-22_14-48-00,resunet,0.999994945526123,5.994508792807664e-06,0.9999961853027344,0.9999771118164062,1.0,40,80.0
80x_2_2025-05-22_14-48-00,attention_resunet,0.0026952743530273,0.0010340777993723,0.0025234222412109,0.0016975402832031,0.0085983276367187,40,80.0
80x_2_2025-05-22_14-48-00,clahe_otsu,0.4472297668457031,0.0133738236351014,0.4441051483154297,0.4335289001464844,0.5116500854492188,40,80.0
