image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold_0.2,density_threshold_0.5,density_threshold_0.8,density_threshold_0.95,density_clahe_otsu_pred,density_clahe_otsu_orig
10x_2025-05-15_02-05-00.tif,10,10x,18,1024,2048,0.96427155,0.8473129,0.4458847,0.009922028,0.6283493041992188,0.678619384765625
10x_2025-05-15_02-05-00.tif,10,10x,19,1024,2560,0.95235443,0.8097191,0.38142014,0.00920105,0.6003837585449219,0.6798324584960938
10x_2025-05-15_02-05-00.tif,10,10x,20,1024,3072,0.9502449,0.7962456,0.36618423,0.006061554,0.59368896484375,0.6559028625488281
10x_2025-05-15_02-05-00.tif,10,10x,21,1536,0,0.94922256,0.79068756,0.34684372,0.015785217,0.575592041015625,0.5987472534179688
10x_2025-05-15_02-05-00.tif,10,10x,22,1536,512,0.9505615,0.8385887,0.47509384,0.04158783,0.6148147583007812,0.6240081787109375
10x_2025-05-15_02-05-00.tif,10,10x,23,1536,1024,0.94895935,0.85490036,0.5654373,0.072753906,0.6365737915039062,0.6168632507324219
10x_2025-05-15_02-05-00.tif,10,10x,24,1536,1536,0.9577751,0.8469238,0.49111557,0.030086517,0.6205596923828125,0.6518783569335938
10x_2025-05-15_02-05-00.tif,10,10x,25,1536,2048,0.9566345,0.83501816,0.43492508,0.011070251,0.612213134765625,0.6620559692382812
10x_2025-05-15_02-05-00.tif,10,10x,26,1536,2560,0.9433136,0.80425644,0.39521027,0.012393951,0.5873908996582031,0.6437225341796875
10x_2025-05-15_02-05-00.tif,10,10x,27,1536,3072,0.93798447,0.7789688,0.33742523,0.0063438416,0.5719451904296875,0.64410400390625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,0,0,0,0.09062958,0.021278381,0.0009841919,0.0,0.09452438354492188,0.101226806640625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,1,0,512,0.059906006,0.018184662,0.0013160706,0.0,0.054187774658203125,0.050632476806640625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,2,0,1024,0.050178528,0.018226624,0.0014533997,0.0,0.049373626708984375,0.038722991943359375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,3,0,1536,0.046527863,0.019233704,0.0018959045,0.0,0.04656219482421875,0.03981781005859375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,4,0,2048,0.03952408,0.016204834,0.001121521,0.0,0.038970947265625,0.11442947387695312
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,5,0,2560,0.051742554,0.019470215,0.0008354187,0.0,0.059246063232421875,0.19646453857421875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,6,0,3072,0.052005768,0.014808655,0.00025558472,0.0,0.09303665161132812,0.23268890380859375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,7,512,0,0.10202789,0.022819519,0.0014419556,0.0,0.12115478515625,0.049846649169921875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,8,512,512,0.06760788,0.016582489,0.0014228821,0.0,0.07039642333984375,0.035846710205078125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,9,512,1024,0.045082092,0.015907288,0.0021400452,0.0,0.037319183349609375,0.0326690673828125
